ProgramName|ageLimit|ProgramDescription|programCategory|timeStart|timeEnd|duration|Date
Pogoda|0|Codzienny serwis informacyjny z prognozą pogody.|Pogoda|14:25|14:30|2|2016-07-04
Dziennik regionów|0||0|14:30|14:35|0|2016-07-04
Tatrzański Park Narodowy|0|Film jest monografią Tatr i Tatrzańskiego Parku Narodowego. Bohaterami są zwierzęta: niedźwiedzica, jej młode, świstaki, kozice i wilki oraz dzika przyroda ukazana podczas czterech pór roku.|Film dokumentalny|14:35|15:45|50|2016-07-04
Dziennik regionów|0||0|15:45|15:55|0|2016-07-04
Reportaż|0||0|15:55|16:10|0|2016-07-04
Telezakupy|12|Magazyn reklamowy prezentujący artykuły gospodarstwa domowego, urządzenia do poprawy kondycji i zdrowia. Po zapoznaniu się z ofertą widzowie mogą telefonicznie zamówić wybrane towary.|Program reklamowy|16:10|16:25|15|2016-07-04
Pogoda|0|Codzienny serwis informacyjny z prognozą pogody.|Pogoda|16:25|16:30|2|2016-07-04
Ścieżką przez las|0||0|16:30|17:05|0|2016-07-04
Odkrywanie Jury|0||0|17:05|17:20|0|2016-07-04
Przechodzień codzienny|7||0|17:20|17:25|0|2016-07-04
Dziennik regionów|0||0|17:25|22:15|0|2016-07-04
Dziennik regionów|0||0|22:15|22:40|0|2016-07-04
